,count,mean,std,min,25%,50%,75%,max,missing,missing_pct,skewness,kurtosis
spy_high,4173.0,339.5345414683028,146.52600052581104,154.91191717539053,214.60054051573684,298.6379863970685,426.22968653702213,697.8400268554688,0,0.0,0.6950023890992572,-0.5168839112242121
spy_low,4173.0,335.73656670814665,145.0308146503715,150.23767911906552,212.7394663393128,295.5641707964814,421.5086210577569,693.9400024414062,0,0.0,0.7046238038354593,-0.4991217789372393
spy_volume,4173.0,89672194.72801343,45945371.02743662,20270000.0,60846800.0,78309700.0,104705800.0,507244300.0,0,0.0,2.3583515116010294,9.048999698589487
qqq_open,4173.0,264.66315761306276,149.26609884792612,82.94726881152158,135.00997000174164,228.16843046610646,360.5585501893892,635.4600219726562,0,0.0,0.689500852947855,-0.5600818004520698
qqq_high,4173.0,266.52342560317925,150.22910636864123,84.9287597208677,135.3305448184525,229.63131159699964,363.76171108454395,636.5999755859375,0,0.0,0.6828717504072421,-0.5724029786729403
qqq_low,4173.0,262.576106153702,148.12495285108804,78.3856745353014,133.97923449044086,225.36044118166936,358.8443784951762,631.8099975585938,0,0.0,0.6943364839715259,-0.5531727270040747
qqq_volume,4173.0,42886581.69182842,22197799.322656542,7079300.0,26443500.0,38263400.0,54254100.0,198685800.0,0,0.0,1.4522712617141442,3.3206233701678496
iwm_open,4173.0,159.21825341257755,43.51168107515046,82.64251408177331,123.1934163001263,151.9163787222345,196.80239636933533,269.8299865722656,0,0.0,0.273979764032966,-0.9469788086066253
iwm_high,4173.0,160.43644285782918,43.8765188371941,83.80203886115568,123.74951704574706,152.93493647041967,198.41210635278776,271.6000061035156,0,0.0,0.27218255068985026,-0.957170997840755
iwm_low,4173.0,157.85330225663583,43.10166553035626,82.25600358802109,122.48285451403369,151.07830421552646,195.00659705328547,269.4200134277344,0,0.0,0.2765864394725455,-0.9360873721055216
iwm_volume,4173.0,30139081.931464173,13294585.67710864,1200.0,21006500.0,27141300.0,35994400.0,123015100.0,0,0.0,1.5915684688988414,4.075600056402112
btc_usd_open,4173.0,27492.11101357382,32057.33292528637,176.89700317382812,2806.929931640625,10977.400390625,43012.234375,124752.140625,0,0.0,1.277872099156315,0.598652791983048
btc_usd_high,4173.0,28040.712312652202,32599.147048986848,211.7310028076172,2897.449951171875,11320.2001953125,43810.83203125,126198.0703125,0,0.0,1.2646133416779197,0.5525461487776302
btc_usd_low,4173.0,26904.60437247932,31467.187753619273,171.50999450683594,2690.840087890625,10667.28125,42189.30859375,123196.046875,0,0.0,1.292567608075603,0.6515682606451385
btc_usd_volume,4173.0,21920494900.1711,23025067114.51196,5914570.0,1380099968.0,17273093144.0,33723620826.0,350967941479.0,0,0.0,1.9832669084827756,12.22023938264432
fed_funds_rate,4173.0,1.9748933620896236,1.9111319374260354,0.04,0.13,1.42,4.09,5.33,0,0.0,0.6033187167890729,-1.1701933376464388
treasury_10y,4173.0,2.6558710759645336,1.1242786926614325,0.52,1.79,2.4,3.75,4.98,0,0.0,0.19450171642725705,-1.0134535892126606
treasury_2y,4173.0,2.141071171818835,1.5861212928019908,0.09,0.7,1.68,3.68,5.19,0,0.0,0.3588651199641885,-1.3019998257143286
cpi,4173.0,271.7556975796789,30.245822735936887,234.747,244.243,259.127,302.845,326.588,0,0.0,0.4802498821451269,-1.3141957708343401
unemployment,4173.0,4.668943206326384,1.6289017645832693,3.4,3.8,4.2,5.0,14.8,0,0.0,3.651921945648084,16.462650386751275
industrial_production,4173.0,100.35905044332613,2.6398295456277556,84.5619,99.5298,100.8639,101.4785,104.1004,0,0.0,-3.0109444508717966,14.37037227101418
yield_spread_10y_2y,4173.0,0.5147999041456984,0.6551229927633149,-1.0800000000000005,0.1599999999999997,0.52,1.02,2.04,0,0.0,-0.14164024272164524,-0.5870072173013687
ff_mkt_rf,4129.0,0.0005261564543472995,0.011366015651854019,-0.1201,-0.004,0.0008,0.006,0.0965,44,1.05,-0.2525143050642619,12.194677239714588
ff_smb,4129.0,-3.94768709130541e-06,0.006458886553938112,-0.0353,-0.0039000000000000003,-0.0001,0.0037,0.0545,44,1.05,0.349955800551945,2.564414480122326
ff_hml,4129.0,1.4337612012593829e-05,0.008454795598232387,-0.050300000000000004,-0.0045000000000000005,-0.0004,0.0040999999999999995,0.0673,44,1.05,0.30599290740507384,4.231079041464999
ff_rf,4129.0,7.764591910874306e-05,8.497422992525306e-05,0.0,0.0,0.0001,0.0002,0.0002,44,1.05,0.4432132784913156,-1.4730361025744543
